RndSelect,AuthorTitle,Title,Author,AuthorID,Per_Small,Per_Medium,Per_Large,little,without,other,nothing,again,before,these,least,about,those,though,after,through,together,where,under,never,right,first,always,great,there,others,still
1,alger_cast,cast,alger,1,48.67,30.11,21.22,0.1131,0.0628,0.07,0.0898,0.0449,0.0826,0.0449,0.0162,0.2728,0.0323,0.0539,0.1023,0.0592,0.0233,0.1598,0.0413,0.0844,0.1041,0.0736,0.0556,0.0431,0.3626,0.0126,0.0664
2,alger_ragged,ragged,alger,1,47.02,31.98,21,0.2224,0.0741,0.1144,0.0614,0.0614,0.1588,0.0508,0.0127,0.2266,0.0212,0.0529,0.1038,0.0254,0.0233,0.1758,0.0127,0.1228,0.0995,0.0953,0.0805,0.072,0.3812,0.0169,0.0318
3,alger_struggling,struggling,alger,1,47.65,29.5,22.85,0.1212,0.0567,0.0958,0.0665,0.0411,0.0841,0.0254,0.0117,0.2288,0.0293,0.1076,0.1271,0.0196,0.0215,0.1271,0.0508,0.0626,0.0958,0.0782,0.0508,0.0684,0.3168,0.0117,0.0469
1,aristotle_history,history,aristotle,2,45.73,30.79,23.49,0.1129,0.0703,0.3869,0.0182,0.1161,0.0632,0.4067,0.0142,0.1745,0.1216,0.0687,0.248,0.0695,0.0592,0.1003,0.1019,0.0774,0.0482,0.1271,0.0284,0.1011,0.3372,0.1856,0.0221
2,aristotle_meteorology,meteorology,aristotle,2,46.42,30.41,23.17,0.0673,0.0487,0.2506,0.0348,0.1787,0.116,0.3875,0.0116,0.116,0.2553,0.0835,0.0766,0.0998,0.0394,0.1346,0.0394,0.0209,0.0232,0.1299,0.1276,0.1439,0.3945,0.0835,0.0278
3,aristotle_nicomachean,nicomachean,aristotle,2,47.79,27.29,24.93,0.0451,0.1164,0.4096,0.0879,0.0867,0.0451,0.4452,0.0368,0.1793,0.3977,0.0795,0.0261,0.0297,0.0522,0.0309,0.0356,0.0178,0.1757,0.0831,0.0558,0.0784,0.3016,0.1722,0.0261
1,austen_emma,emma,austen,3,46.49,29.79,23.72,0.2295,0.136,0.1399,0.1602,0.1373,0.1564,0.042,0.0534,0.1583,0.0604,0.1125,0.1023,0.0388,0.0509,0.0553,0.04,0.2276,0.0559,0.1316,0.1513,0.1678,0.3484,0.0375,0.0731
1,austen_northanger,northanger,austen,3,45.87,27.75,26.37,0.1339,0.1443,0.1508,0.1456,0.1157,0.1885,0.065,0.0546,0.1495,0.0468,0.156,0.1508,0.0637,0.0546,0.0663,0.0312,0.2054,0.0338,0.1352,0.1131,0.1261,0.273,0.0338,0.065
1,austen_persuasion,persuasion,austen,3,45.58,28.63,25.79,0.212,0.1301,0.1722,0.1662,0.159,0.1397,0.0626,0.0506,0.1168,0.0867,0.1409,0.1156,0.0409,0.065,0.0614,0.0518,0.1855,0.0506,0.1337,0.1325,0.1554,0.3444,0.065,0.0879
1,austen_pride,pride,austen,3,45.43,28.04,26.53,0.1543,0.1404,0.1732,0.1461,0.1461,0.188,0.0575,0.0525,0.1026,0.0476,0.1855,0.1683,0.0345,0.0534,0.0772,0.0271,0.1806,0.0304,0.1248,0.0985,0.1166,0.2865,0.0443,0.0607
1,austen_sense,sense,austen,3,45.85,27.33,26.83,0.1327,0.1468,0.1677,0.156,0.121,0.1669,0.0559,0.0584,0.1226,0.0425,0.1802,0.1685,0.0317,0.0592,0.0759,0.0451,0.1577,0.0275,0.1343,0.1035,0.1243,0.2011,0.0501,0.0834
1,carroll_alices,alices,carroll,4,46.49,34.38,19.14,0.5063,0.0989,0.1582,0.1187,0.3244,0.1503,0.0554,0.0356,0.3719,0.0396,0.0514,0.1582,0.0475,0.0356,0.0514,0.0633,0.178,0.1187,0.1978,0.0514,0.1543,0.3481,0.0277,0.0514
2,carroll_hunting,hunting,carroll,4,44.51,32.82,22.67,0.0402,0.1206,0.1005,0.0603,0.1206,0.1608,0.0402,0.0804,0.1005,0.1005,0.1809,0.0804,0.0201,0.0201,0.0402,0.0201,0.201,0.1005,0.1206,0.1005,0.0201,0.1809,0.0603,0.0603
3,carroll_through,through,carroll,4,46.09,35,18.91,0.4197,0.0682,0.226,0.0933,0.2798,0.1112,0.0251,0.0287,0.2404,0.0323,0.0789,0.1507,0.1507,0.043,0.0538,0.0789,0.1973,0.0646,0.1112,0.1076,0.1758,0.4054,0.0072,0.0717
1,cather_alexanders,alexanders,cather,5,46.92,30.18,22.91,0.2738,0.0772,0.0878,0.0737,0.1369,0.1685,0.0491,0.0211,0.4107,0.0702,0.0491,0.1966,0.179,0.0421,0.1404,0.1018,0.179,0.0105,0.1369,0.2176,0.1299,0.5722,0.007,0.1229
2,cather_o,o,cather,5,46.81,33.53,19.66,0.273,0.0673,0.111,0.0764,0.1092,0.1547,0.051,0.0164,0.4732,0.0473,0.0419,0.1347,0.0892,0.0564,0.1729,0.071,0.2075,0.0764,0.0892,0.1802,0.0582,0.4478,0.0073,0.0874
3,cather_song,song,cather,5,46.07,31.93,21.99,0.2335,0.0632,0.1171,0.0745,0.1084,0.1643,0.0552,0.0206,0.4071,0.0579,0.0392,0.1789,0.0971,0.0333,0.1177,0.1104,0.2282,0.0891,0.139,0.2142,0.0911,0.4557,0.014,0.0838
1,dickens_childs,childs,dickens,6,44.08,30.04,25.87,0.1283,0.0745,0.146,0.0751,0.1185,0.135,0.1423,0.011,0.1264,0.116,0.0739,0.1454,0.0953,0.0434,0.1441,0.1081,0.0953,0.0409,0.1179,0.0482,0.3445,0.3042,0.036,0.0782
2,dickens_christmas,christmas,dickens,6,45.07,31.63,23.29,0.2334,0.0693,0.1349,0.1058,0.1714,0.2079,0.1058,0.0146,0.1896,0.0474,0.1167,0.0766,0.124,0.0438,0.1276,0.0219,0.1349,0.0474,0.1021,0.062,0.1167,0.4486,0.0036,0.062
3,dickens_tale,tale,dickens,6,46.41,29.4,24.19,0.1986,0.0784,0.1344,0.1112,0.1702,0.1725,0.1381,0.0149,0.1202,0.0821,0.0747,0.103,0.1195,0.0455,0.1187,0.1045,0.1441,0.0373,0.0866,0.0762,0.1202,0.4293,0.0239,0.0732
1,doyle_adventures,adventures,doyle,7,47.61,30.52,21.86,0.2616,0.071,0.142,0.1041,0.0671,0.1585,0.0778,0.035,0.1624,0.0642,0.0613,0.0953,0.0885,0.034,0.1138,0.0409,0.1021,0.0924,0.0827,0.0554,0.0584,0.4912,0.0175,0.0778
2,doyle_his,his,doyle,7,46.62,29.72,23.67,0.1212,0.0597,0.1144,0.14,0.0666,0.1894,0.0836,0.0205,0.1451,0.0427,0.0341,0.1417,0.0768,0.0529,0.0887,0.0341,0.1144,0.041,0.1075,0.0375,0.0751,0.524,0.0256,0.0666
3,doyle_memoirs,memoirs,doyle,7,47.66,30.15,22.19,0.1751,0.0696,0.1487,0.1065,0.1034,0.1698,0.1076,0.0338,0.1909,0.0591,0.0612,0.1181,0.0823,0.0454,0.1319,0.0517,0.1382,0.0475,0.1234,0.0454,0.0517,0.4399,0.0179,0.0897
1,emerson_conduct,conduct,emerson,8,46.77,27.53,25.71,0.0746,0.091,0.1522,0.0761,0.0269,0.0388,0.185,0.0239,0.0373,0.0791,0.0641,0.0597,0.1029,0.0179,0.091,0.0522,0.0985,0.0746,0.0865,0.088,0.1343,0.3461,0.0343,0.0507
2,emerson_english,english,emerson,8,44.16,26.69,29.15,0.0563,0.0782,0.1673,0.0625,0.036,0.0657,0.2142,0.0156,0.0578,0.0766,0.061,0.075,0.0625,0.0141,0.1016,0.0391,0.1188,0.061,0.0735,0.0453,0.1266,0.2017,0.025,0.0688
3,emerson_representative,representative,emerson,8,46.3,25.59,28.1,0.0646,0.1037,0.2313,0.0986,0.0527,0.0629,0.2568,0.0153,0.0527,0.1003,0.068,0.0714,0.1241,0.0051,0.0663,0.0629,0.1394,0.0476,0.0935,0.051,0.1871,0.2908,0.0493,0.0748
1,hawthorne_earths,earths,hawthorne,9,42.23,29.24,28.53,0.1889,0.108,0.1889,0.0675,0.0405,0.0675,0.2699,0.0135,0.0405,0.1619,0.0675,0.027,0.0135,0.108,0.054,0.027,0.0675,0.0135,0.1215,0.0135,0.1484,0.3644,0.027,0.0675
2,hawthorne_house,house,hawthorne,9,43.69,27.62,28.69,0.2504,0.0927,0.1567,0.0774,0.0755,0.1061,0.1644,0.042,0.1367,0.0784,0.0545,0.1261,0.1443,0.0468,0.0784,0.0573,0.1376,0.0373,0.0841,0.0468,0.1271,0.3574,0.0124,0.1099
3,hawthorne_my,my,hawthorne,9,43.43,28,28.57,0.243,0.054,0.1215,0.0405,0.0675,0.189,0.081,0.027,0.054,0.135,0.054,0.0945,0.081,0.0135,0.054,0.054,0.027,0.054,0.0675,0.0135,0.1215,0.243,0.054,0.054
4,hawthorne_scarlet,scarlet,hawthorne,9,43.35,28.5,28.14,0.2885,0.0715,0.2007,0.064,0.0803,0.148,0.1593,0.0276,0.1104,0.0815,0.0715,0.1066,0.1192,0.0376,0.0916,0.0527,0.1254,0.0276,0.0715,0.0427,0.0728,0.355,0.0125,0.1154
